Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3b6RZmPmYzg2mRyfoIznYS,"福气马上来","福气马上来","1119",2025-12-12,195717,65,false,,2026-03-10T13:44:11Z,"","1119",0.729,0.954,1,-4.183,1,0.126,0.218,0,0.127,0.955,143.021,4
spotify:track:2orh0fTsNokKCIxZ3c4OIN,"Nghe Nói Anh Sắp Kết Hôn (feat. Bùi Anh Tuấn)","Nghe Nói Anh Sắp Kết Hôn (feat. Bùi Anh Tuấn)","Văn Mai Hương;Bùi Anh Tuấn",2019-10-24,265161,33,false,,2026-03-09T11:29:31Z,"v-pop,hip hop việt nam,vinahouse,indie việt","NCT Corporation",0.224,0.458,2,-5.796,1,0.0334,0.631,0.0000337,0.0733,0.254,185.589,3
spotify:track:2N08rsI57WBSeekjO8v5rF,"MASHUP: NGHE NÓI ANH SẮP KẾT HÔN - MONG CHO ANH","Chị Đẹp Đạp Gió 2024 - Công Diễn 4","Chị Đẹp Đạp Gió Rẽ Sóng;Kiều Anh;Thiều Bảo Trâm;Phương Vy",2024-12-28,258000,33,false,,2026-03-09T11:29:30Z,"v-pop,lo-fi việt,bolero việt nam","1LABEL",0.261,0.499,8,-5.332,1,0.0341,0.47,0,0.0618,0.181,180.045,3
spotify:track:2JJ0RjDvGbjKMu9TfaDD0K,"Tôi Không Còn Viết Tình Ca - Live at TANCA","TANCA Season 2: Ái Phương","Ái Phương;tanca",2025-12-26,230511,14,false,,2026-03-09T11:26:25Z,"v-pop,indie việt","VIEENT Music",0.653,0.284,2,-14.01,1,0.118,0.903,0,0.0686,0.454,129.857,4
spotify:track:0UNMATz8tv3qKEuXXSAFAH,"TÔI KHÔNG CÒN VIẾT TÌNH CA","Chị Đẹp Đạp Gió 2024 - Công Diễn 3","Chị Đẹp Đạp Gió Rẽ Sóng;Mỹ Linh;Ái Phương;Dương Hoàng Yến;Tóc Tiên;Hứa Kim Tuyền",2024-12-08,240000,32,false,,2026-03-09T11:26:19Z,"v-pop,bolero việt nam,indie việt,hip hop việt nam","1LABEL",0.624,0.501,2,-8.071,1,0.0396,0.766,0,0.105,0.511,127.901,4
spotify:track:7mGrmZGqLzhqcPmTYeEdTb,"HOT","Chị Đẹp Đạp Gió 2024 - Công Diễn 1","Chị Đẹp Đạp Gió Rẽ Sóng;Tóc Tiên;Ái Phương;Hạnh Sino;Thiều Bảo Trâm;Hino",2024-11-16,180361,30,false,,2026-03-05T13:14:16Z,"v-pop,indie việt,vinahouse,lo-fi việt","1LABEL",0.777,0.869,0,-6.129,1,0.107,0.0211,0.000537,0.368,0.195,135.002,4
spotify:track:13YE1VSvQ4t7wWCPlpK1Uw,"ヘビーローテーション","ここにいたこと(初回限定盤)","AKB48",2011-06-08,283386,58,false,,2026-03-05T11:26:27Z,"j-pop,c-pop","KING RECORDS",0.319,0.927,1,-2.64,0,0.0549,0.0000898,0.0941,0.325,0.233,178.081,4
spotify:track:5LGKucoh4rbYbDvDohjzYj,"Như anh đã mong chờ","Just like you wanted","Hari Won",2022-11-10,206306,20,false,,2026-02-28T18:29:39Z,"v-pop","krazysound",0.583,0.465,2,-5.608,0,0.0572,0.666,0,0.134,0.391,87.71,4
spotify:track:0yzX8MYYJHw7A3PLvgEc7e,"ツバメ (feat. ミドリーズ)","ツバメ (feat. ミドリーズ)","YOASOBI;ミドリーズ",2021-10-25,217429,53,false,,2026-02-28T13:25:24Z,"j-pop,anime","YOASOBI",0.72,0.926,8,-5.027,1,0.0297,0.309,0,0.0761,0.846,104.997,4
spotify:track:1rxh0iojvTB24C6BpOdfC1,"DREAMIN' ON","SiX","Da-iCE",2021-01-20,235373,56,false,,2026-02-27T14:37:30Z,"j-pop,anime","avex trax",0.397,0.931,0,-3.072,0,0.113,0.00918,0,0.146,0.422,170.027,4
spotify:track:6vMQPwSKJWc4q272mUPqeJ,"ほろよい","ほろよい","Sanghee",2022-09-05,203700,41,false,,2026-02-25T03:26:33Z,"j-pop,indie nhật bản","Universal Music LLC",0.778,0.818,8,-6.086,1,0.0713,0.46,0.00000396,0.289,0.649,124.932,4
spotify:track:3kjrptlKo3Vc2lh2Qq5Utt,"凶夢伝染","凶夢伝染","Ali Project",2012-01-25,265640,39,false,,2026-02-23T19:38:52Z,"visual kei,anime,baroque pop,j-rock","Mellow Head",0.496,0.888,8,-6.263,1,0.084,0.256,0,0.296,0.498,145.011,4
spotify:track:4OqEhg8rro0TgLzeyyNFWJ,"Scarborough Fair","Diva: The Singles Collection","Sarah Brightman",2006-01-01,252480,42,false,,2026-02-22T12:26:21Z,"crossover cổ điển,opera,nhạc kịch","Angel Records",0.433,0.389,0,-10.086,1,0.0301,0.789,0.00821,0.0901,0.157,119.957,3
spotify:track:1ljFe66TqRcNc866vLg4c1,"氷の上に立つように","小松未歩 ベスト ～once more～","小松未歩",2006-11-22,231508,39,false,,2026-02-21T05:31:26Z,"anime,j-pop","GIZA studio",0.664,0.967,11,-3.116,1,0.0477,0.0563,0.00000206,0.0886,0.634,123.765,4
spotify:track:2dxbvZsxXgqFARbwZiK6wv,"如愿 Wish","如愿 Wish","One Voice Children's Choir",2025-02-07,217194,24,false,,2026-02-20T12:07:32Z,"","One Voice Children's Choir",0.486,0.51,6,-9.016,0,0.0277,0.425,0.00000935,0.193,0.148,134.058,4
spotify:track:4x9retP0JqKa35zZZhNhNS,"如愿","如愿","Faye Wong",2021-10-29,265383,61,false,,2026-02-20T12:07:31Z,"cantopop,mandopop,c-pop,pop đài loan,indie trung quốc","KC Digital",0.545,0.316,6,-9.449,0,0.0314,0.614,0.00000585,0.0896,0.0978,132.882,4
spotify:track:2AKtROlRcuo37UhkDWiuY5,"My Love","Greatest Hits","Westlife",2011-11-21,232206,49,false,,2026-02-20T11:39:26Z,"","RCA Records Label",0.487,0.639,0,-4.873,1,0.027,0.0916,0,0.254,0.322,72.083,4
spotify:track:33LC84JgLvK2KuW43MfaNq,"My Heart Will Go On - Love Theme from ""Titanic""","Let's Talk About Love","Céline Dion",1997-11-14,280000,75,false,,2026-02-20T11:35:43Z,"variété française","Columbia",0.428,0.276,4,-11.729,1,0.0312,0.732,0.00000533,0.117,0.0382,99.195,1
spotify:track:7wMPhUSe6CZga1vOMpLTJP,"Beauty and the Beast","Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition)","Ariana Grande;John Legend",2017-03-10,227928,63,false,,2026-02-20T11:35:20Z,"pop,soft pop,neo soul","Walt Disney Records",0.489,0.54,6,-7.046,1,0.0288,0.126,0,0.103,0.27,81.4,4
spotify:track:7B3UAPLYAbwXVgbHSKEaTw,"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""","Celine Dion","Céline Dion;Peabo Bryson",1992-03-30,249240,65,false,,2026-02-20T11:34:19Z,"variété française,quiet storm","Columbia",0.463,0.4,6,-9.999,0,0.0308,0.643,0.0000246,0.131,0.121,77.314,4
spotify:track:3Z2tPWiNiIpg8UMMoowHIk,"We Are The World","We Are The World","U.S.A. For Africa",1985-01-01,427333,69,false,,2026-02-20T11:26:08Z,"","USA for Africa",0.528,0.447,4,-15.255,1,0.0435,0.189,0,0.0745,0.292,72.58,4
spotify:track:0G8KXyh3a5xP9r0Ym5IZHu,"蛍の光","童謡唱歌「春のうた」","Saori Yuki;Sachiko Yasuda",2018-03-28,98786,16,false,,2026-02-17T05:26:25Z,"enka,kayokyoku,city pop","Universal Music LLC",0.255,0.0712,5,-17.058,1,0.0356,0.984,0.0000355,0.1,0.279,97.96,4
spotify:track:5U4wYRHrCRxRP6iQfM824C,"Everything Is Not As It Seems - Series Theme Song","Wizards of Waverly Place","Selena Gomez",2009-01-01,50613,50,false,,2026-02-17T04:03:58Z,"","Walt Disney Records",0.796,0.766,5,-5.937,0,0.0919,0.0549,0,0.0946,0.921,124.896,4
spotify:track:7td8DTWoGC9u9db37mGHX6,"Nấu ăn cho em","Nấu ăn cho em","Đen;PiaLinh",2023-05-13,241340,50,false,,2026-02-16T15:28:22Z,"v-pop,hip hop việt nam,indie việt,lo-fi việt","Đen",0.597,0.481,1,-10.848,0,0.037,0.76,0,0.212,0.547,90,4
spotify:track:1CPZH1M1xwOLYHFN85T7zj,"Sống Như Những Đoá Hoa","Sống Như Những Đoá Hoa","Tạ Quang Thắng",2013-10-27,269538,39,false,,2026-02-16T15:26:52Z,"indie việt,v-pop","1302694 Records DK",0.582,0.514,2,-7.638,1,0.0278,0.677,0,0.0946,0.457,129.99,4
spotify:track:205KZvCKzoT8lFdc62nWNm,"Đôi Mươi","Yên","Hoàng Dũng",2022-08-24,260519,41,false,,2026-02-16T15:20:29Z,"v-pop,indie việt,lo-fi việt,hip hop việt nam","Lirico Entertainment",0.667,0.344,5,-10.769,1,0.0302,0.346,0,0.173,0.578,90.015,4
spotify:track:3ExaaOhEz70vPX6JQT757h,"Mỗi Ngày Tôi Chọn Một Niềm Vui","Mỗi Ngày Tôi Chọn Một Niềm Vui","Bùi Lan Hương;Avin Lu",2022-06-13,191816,29,false,,2026-02-16T15:19:40Z,"v-pop,indie việt","Universal Music Indochina Distributed Labels",0.665,0.432,0,-11.926,1,0.0461,0.686,0,0.164,0.697,124.346,4
spotify:track:47368B6cbBe3mjhiM78lcA,"Bài Ka Tuổi Trẻ (feat. Vũ Bùi Thu Thuỷ, Linh Cáo & Mel G)","Bài Ka Tuổi Trẻ (feat. Vũ Bùi Thu Thuỷ, Linh Cáo & Mel G)","Emcee L (Da LAB);JGKiD (Da LAB);KraziNoyze;Vũ Bùi Thu Thuỷ;Linh Cáo;Mel G",2017-09-06,229681,45,false,,2026-02-16T15:19:13Z,"v-pop,lo-fi việt,indie việt,hip hop việt nam","12 trái lê",0.778,0.881,10,-3.793,1,0.295,0.71,0,0.0815,0.726,77.533,4
spotify:track:5j4fL4SG4yXCk0HtRacbwm,"Tết Đến Thật Rồi","Tết Đến Thật Rồi","UNI5",2018-02-01,211303,47,false,,2026-02-16T15:04:34Z,"v-pop","6th Sense Entertainment JSC",0.82,0.621,2,-6.841,0,0.101,0.288,0,0.0902,0.691,99.985,4
spotify:track:3zE6YLb2IBb8NriBuuXWQd,"青春狂騒曲","サンボマスターは君に語りかける","Sambomaster",2005-01-19,286186,59,false,,2026-02-16T14:26:24Z,"j-rock,anime,j-pop","Sony Music Labels Inc.",0.297,0.934,7,-2.205,1,0.0787,0.000257,0.00000169,0.225,0.421,136.254,4
spotify:track:2CfLoohJQPZZWIyDyLcWpw,"悲しみをやさしさに","悲しみをやさしさに","Little by Little",2003-12-17,240600,25,false,,2026-02-16T14:24:19Z,"anime","Sony Music Labels Inc.",0.553,0.919,4,-3.393,1,0.045,0.00511,0,0.196,0.438,126.224,4
spotify:track:66BfcocNwMJEwugiiEnLNM,"GO!!!","Go!!!","FLOW",2004-04-28,239613,49,false,,2026-02-16T14:23:44Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.598,0.973,11,-2.129,1,0.0607,0.0743,0,0.203,0.876,133.951,4
spotify:track:2IDmgPzLORjRMVnfiUtNax,"遥か彼方","FLOW THE COVER ～NARUTO縛り～","FLOW",2023-08-30,242173,25,false,,2026-02-16T14:22:04Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.17,0.915,4,-2.755,1,0.0588,0.000324,0,0.25,0.493,175.078,4
spotify:track:4TSwjM55mVyZQ4Cwhi3F8v,"来世はどうせ","来世はどうせ","金子みゆ",2026-01-10,192075,41,false,,2026-02-15T11:56:08Z,"","Nippon Columbia Co., Ltd./NIPPONOPHONE",0.73,0.931,4,-2.456,0,0.176,0.0971,0.0000337,0.14,0.814,134.005,4
spotify:track:3VrKkcEm7RYXBI9RLv7SL7,"冬のはなし","gift","ギヴン",2020-08-26,208906,64,false,,2026-02-15T11:15:08Z,"anime,j-pop","Sony Music Labels Inc.",0.447,0.973,5,-1.447,1,0.0728,0.000851,0,0.307,0.383,134.914,4
spotify:track:2Zj2AqmjkgpBix8cZAu6iY,"不可思議のカルテ","【青春ブタ野郎はバニーガール先輩の夢を見ない】不可思議のカルテ","桜島麻衣(CV:瀬戸麻沙美);古賀朋絵(CV:東山奈央);双葉理央(CV:種﨑敦美);豊浜のどか(CV:内田真礼);梓川かえで(CV:久保ユリカ);牧之原翔子(CV:水瀬いのり)",2018-10-03,239146,67,false,,2026-02-15T11:12:23Z,"anime","Aniplex Inc.",0.7,0.647,2,-4.035,0,0.0267,0.367,0,0.063,0.503,96.013,4
spotify:track:0UV888klzGdbyMpwuxPYnK,"海へ","海へ","syh",2024-09-20,288613,54,false,,2026-02-14T19:06:55Z,"anime","Sony Music Labels Inc.",0.524,0.545,1,-2.603,1,0.0336,0.0133,0,0.0883,0.463,148.06,4
spotify:track:18TRh84Dks5hRt3Bqm1NEn,"It's a Brand New Day - Opening Theme from 100 Things to Do Before High School","It's a Brand New Day (From 100 Things to Do Before High School)","The Tibbs",2016-10-18,46135,20,false,,2026-02-14T18:32:32Z,"","Studio Lead",0.471,0.801,8,-6.2,1,0.133,0.0446,0,0.0933,0.774,174.855,4
spotify:track:68JJTR5HMxhpLADghh6t9S,"あの日のメロディー","ALIVE「あの頃の僕らは」シリーズ・SOARA「花咲く丘で～again～／あの日のメロディー」","SOARA",2024-11-29,331678,10,false,,2026-02-14T05:16:20Z,"","ムービック",0.652,0.74,11,-4.722,1,0.0346,0.389,0,0.168,0.768,116.988,4
spotify:track:4ikYf6umcd6NGL0P5bb816,"どんなときも。","どんなときも。","Noriyuki Makihara",1991-06-10,307240,39,false,,2026-02-13T15:51:10Z,"j-pop,kayokyoku","WM Japan",0.69,0.841,6,-6.537,1,0.0289,0.374,0.000537,0.0995,0.906,123.835,4
spotify:track:59hVbgr8rfYkDbHfr8RcGI,"IRIS OUT","IRIS OUT","Kenshi Yonezu",2025-09-15,151573,85,false,,2026-02-12T13:53:08Z,"j-pop,anime,j-rock","Sony Music Labels Inc.",0.75,0.799,1,-5.92,1,0.143,0.00532,0.00000403,0.0685,0.889,134.996,4
spotify:track:3psAQ1awCaeCrXVERSObxk,"自由気儘な魂が誇る愚者の王(自任)(但し天命のキャプテン)","The King of Wayward Souls(Self Proclaimed)(But Destined)(Original Game Soundtrack)","Wuthering Waves;Adam Gubman;鴉紋ゆうく",2025-03-18,224731,26,false,,2026-02-12T13:52:35Z,"nhạc phim","KURO GAMES",0.283,0.825,8,-6.774,1,0.05,0.0541,0,0.15,0.536,186.7,3
spotify:track:01w5kXbzxvtkDEH9i8LRJv,"空想フォレスト","一意専心","Kashitaro Ito",2014-01-22,294498,24,false,,2026-02-12T13:48:53Z,"vocaloid,anime","TOY'S FACTORY",0.524,0.603,2,-5.127,1,0.0335,0.695,0,0.117,0.545,156.12,4
spotify:track:2zawOh4d1yGJKF653Rbcok,"SECRET CODE","Welcome to the GLORIA!","THRIVE(cv. Toshiyuki Toyonaga,Natsuki Hanae,Kazuki Kato)",2019-10-30,225906,11,false,,2026-02-12T12:20:34Z,"","MAGES.",0.59,0.958,10,-4.543,1,0.128,0.0122,0,0.109,0.529,135.088,4
spotify:track:6O3FzgshOKgSAXuENp9BDm,"超感デスティニー","B-PROJECT「超感デスティニー」","THRIVE（cv.豊永利行、花江夏樹、加藤和樹）",2018-03-18,227186,20,false,,2026-02-12T12:00:49Z,"anime","5pb.Records",0.575,0.989,6,-4.248,1,0.135,0.000986,0,0.267,0.763,130.971,4
spotify:track:096KHkONhQm4MQNH35mU22,"鬼ノ宴","鬼ノ宴","TOMONARI SORA	",2024-01-10,175998,60,false,,2026-02-08T16:40:24Z,"j-pop","cutting edge",0.804,0.536,6,-7.003,1,0.0427,0.0141,0.00000691,0.0376,0.978,130.017,4
spotify:track:5Ekvr5mfHdNI1Ss2OSSC06,"奏（かなで）","キミの耳にラブソングを","Tomohisa Sako",2018-03-21,294520,23,false,,2026-02-08T13:37:43Z,"anime,j-pop","Sony Music Labels Inc.",0.56,0.231,9,-10.845,0,0.0325,0.956,0.0108,0.128,0.324,75.042,4
spotify:track:6DEN0NHItNNdepd9IhlC3H,"Nobody","The Wonder Years - Trilogy","Wonder Girls",2008-09-22,212533,63,false,,2026-02-07T20:06:32Z,"k-pop","Republic Records - JYP Entertainment",0.882,0.786,3,-7.383,0,0.075,0.102,0.00142,0.0856,0.95,130.978,4
spotify:track:4CG4A5pR3BaHp3WwCBAjsO,"心电感应808 - Live","乘风2024第8期","Sa Dingding;柳岩;Dani;尚雯婕;Guo Bi Ting;何潔",2024-12-04,252943,5,false,,2026-02-07T19:59:56Z,"gufeng,c-pop,mandopop","Sony Music Entertainment",0.604,0.601,2,-7.706,1,0.0408,0.0448,0,0.357,0.229,130.133,4
spotify:track:5T8hxPkdecBmGSlEINIoNR,"心电感应808","心电感应808","Jane Zhang",2016-05-19,179076,13,false,,2026-02-07T19:59:35Z,"gufeng,mandopop,c-pop","靡之音乐",0.491,0.815,11,-5.517,0,0.0606,0.0333,0,0.0809,0.322,130.032,4
spotify:track:6LUOMjoORvAkdhBYvESO46,"Move Your Body - Alan Walker Remix","This Is Acting (Deluxe Version)","Sia;Alan Walker",2016-10-21,217906,63,false,,2026-02-07T19:59:00Z,"","Monkey Puzzle Records/RCA Records",0.636,0.789,10,-4.905,0,0.0892,0.0834,0.000896,0.391,0.4,128.028,4
spotify:track:1ui61jEBAUwP8eBN24rtuy,"記憶の旅 - Genshin Impact's 4th Anniversary Japanese Theme Song","Genshin Impact - Passing Memories","HOYO-MiX;Mika Nakashima",2024-09-28,217356,32,false,,2026-02-07T19:56:38Z,"nhạc phim,j-pop,anime,j-r&b","miHoYo",0.289,0.538,11,-4.174,1,0.0309,0.451,0.0000369,0.168,0.157,114.838,3
spotify:track:0Ny1hQdPAyNH57J6qbr9aq,"Passing Memories - Genshin Impact's 4th Anniversary English Theme Song","Genshin Impact - Passing Memories","HOYO-MiX;Faouzia",2024-09-28,219721,45,false,,2026-02-07T19:56:19Z,"nhạc phim","miHoYo",0.206,0.496,11,-5.586,1,0.0323,0.462,0.00000146,0.0955,0.157,77.369,4
spotify:track:7KGynHoL522rxNTRfv7HCR,"经过 - Genshin Impact's 4th Anniversary Chinese Theme Song","Genshin Impact - Passing Memories","HOYO-MiX",2024-09-28,215493,34,false,,2026-02-07T19:56:02Z,"nhạc phim","miHoYo",0.188,0.603,4,-7.187,1,0.0379,0.521,0.000188,0.131,0.0758,77.339,4
spotify:track:4xrqo0Lt57P0xRAwWr2SOL,"Interstellar Journey","Interstellar Journey (Honkai: Star Rail Official Release Theme Song)","HOYO-MiX;Lea Sirk;王可鑫;宫奇;文驰",2023-04-25,92571,45,false,,2026-02-07T19:55:53Z,"nhạc phim","miHoYo",0.617,0.873,8,-5.636,1,0.229,0.0297,0,0.252,0.768,139.942,4
spotify:track:4B7KV0bTESmTjCKkke6Ei3,"Interstellar Journey [Japanese Ver]","Interstellar Journey [Japanese Ver]","Zero Synth",2023-05-28,90857,5,false,,2026-02-07T19:54:32Z,"","Zero Synth",0.535,0.744,10,-6.971,0,0.0454,0.00879,0.00000132,0.109,0.63,139.974,4
spotify:track:3ZDQcyW2g3aFjdEBQ56eMY,"星间旅行","Interstellar Journey (Honkai: Star Rail Official Release Theme Song)","HOYO-MiX;茶理理;王可鑫;宫奇;文驰",2023-04-25,92571,36,false,,2026-02-07T19:52:24Z,"nhạc phim,gufeng,c-pop","miHoYo",0.629,0.877,5,-5.285,0,0.251,0.0573,0,0.171,0.498,139.981,4
spotify:track:1cyGvXPHdd5yG0Hrf9Ms8x,"Rubia","Rubia (Honkai Impact 3rd Impressions)","Zhou Shen;HOYO-MiX;宫奇 Gon",2021-01-29,194558,52,false,,2026-02-07T19:46:35Z,"gufeng,c-pop,mandopop,nhạc phim","miHoYo",0.518,0.275,8,-7.322,1,0.035,0.458,0,0.107,0.123,135.97,4
spotify:track:2IA8qmHfpSYyvYpHezf4dx,"起風了","起風了","Zhou Shen",2020-09-03,323795,55,false,,2026-02-07T19:46:24Z,"gufeng,c-pop,mandopop","上海寬娛數碼科技有限公司",0.563,0.576,6,-5.11,1,0.0272,0.254,0,0.138,0.396,77.522,4
spotify:track:5m1hVdlTaXBo9EGCEsPygc,"BORDERLESS","トウキョウジェネレーション / BORDERLESS","ZOLA",2014-07-23,194420,5,false,,2026-02-07T14:25:37Z,"vocaloid","Colourful Records",0.406,0.948,7,-4.267,0,0.0442,0.0124,0,0.13,0.492,91.877,4
spotify:track:3Fi1Omhrp7yzJOCbhzhpLk,"Mary's Boy Child","Fantastic Boney M.","Boney M.",1984-12-03,270440,40,false,,2026-02-07T11:36:24Z,"disco","Hansa Local",0.771,0.526,0,-13.172,1,0.0455,0.505,0,0.13,0.921,112.507,4
spotify:track:2IMf4KSQ3bXLE5jOtR9jO1,"我ら科学の子","我ら科学の子","AHUB",2026-01-21,133827,38,false,,2026-02-05T13:11:12Z,"vocaloid","TOY'S FACTORY",0.551,0.789,9,-6.918,0,0.0623,0.000647,0,0.271,0.542,110.967,4
spotify:track:1MPurROrMam61g0jhMcQKG,"新鴛鴦蝴蝶夢","重頭做起","何家勁",1994-08-15,262666,32,false,,2026-02-05T12:50:09Z,"mandopop,cantopop","Music Impact",0.515,0.273,7,-13.97,1,0.0261,0.248,0.00000786,0.353,0.392,91.24,4
spotify:track:3A4FRzgve9BjfKbvVXRIFO,"Sparkle - movie ver.","Your Name.","RADWIMPS",2016-08-24,537653,67,false,,2026-02-05T12:34:04Z,"anime,j-pop,j-rock","EMI Records",0.372,0.426,11,-8.421,1,0.0339,0.687,0.00784,0.109,0.287,123.993,4
spotify:track:6gFswuB5uO5W20joR8YYCy,"Lull(《時光代理人 英都篇》動畫片尾曲)","《時光代理人 英都篇》動畫原聲帶","AK劉彰",2024-12-07,227199,43,false,,2026-02-05T04:46:25Z,"hip hop trung quốc","上海寬娛數碼科技有限公司",0.541,0.564,8,-7.061,0,0.0303,0.0944,0.0000494,0.186,0.388,146.303,4
spotify:track:63Fzv8Tmynr8GsZXznOUbM,"Thương Em (feat. Andiez)","Thương Em (feat. Andiez)","Luke D;Andiez",2026-01-22,250608,40,false,,2026-02-04T17:57:06Z,"v-pop,indie việt,lo-fi việt","Sony Music Entertainment",0.406,0.438,11,-8.777,1,0.0346,0.747,0,0.0959,0.286,175.816,4
spotify:track:2Hit4n18Ng0q5px4PLwGbP,"心情呼吸","アイリー","Akihisa Kondo",2016-04-27,256426,15,false,,2026-02-04T17:56:22Z,"anime","Sony Music Labels Inc.",0.598,0.708,3,-3.874,0,0.0369,0.0995,0,0.0844,0.638,82.026,4
spotify:track:7AC7m43ISaXdpoSEIIifar,"はらり","はらり","吉岡亜衣加",2009-09-02,229546,11,false,,2026-02-04T17:53:31Z,"anime","TEAM Entertainment",0.564,0.631,7,-4.684,0,0.0305,0.00488,0,0.141,0.366,119.979,4
spotify:track:2hDmJzJyImHRSKpcvMnKki,"上弦の月","螺旋","Tsubasa Sakiyama;桜men",2018-05-02,245053,19,false,,2026-02-04T17:45:26Z,"vocaloid,anime","avex trax",0.418,0.806,8,-4.488,0,0.0521,0.00424,0,0.0989,0.608,163.989,4
spotify:track:1rnEmMcOAdQckPj3mRDkmH,"紅一葉","紅一葉","KuroUsa(WhiteFlame)",2012-02-29,252146,34,false,,2026-02-04T17:42:06Z,"vocaloid","KarenT",0.605,0.563,11,-7.184,0,0.0231,0.555,0,0.279,0.435,93.982,4
spotify:track:2bGeJDaJrARRZYUEOndJlG,"紅一葉","ボカロ三昧2","WagakkiBand",2022-08-15,255166,25,false,,2026-02-04T17:41:59Z,"j-rock,j-pop,folk metal,vocaloid","Universal Music LLC",0.54,0.855,2,-5.025,1,0.0356,0.376,0.00252,0.316,0.409,93.985,4
spotify:track:080H5WkFjqzNTQH4WXWnG0,"上弦の月","上弦の月","KuroUsa(WhiteFlame)",2015-02-13,240000,33,false,,2026-02-04T17:41:46Z,"vocaloid","KARENT",0.395,0.868,8,-3.956,0,0.0545,0.108,0.0000355,0.0809,0.63,163.92,4
spotify:track:38mUTswfszVFQ952r89AP8,"千本桜","千本桜","KuroUsa(WhiteFlame)",2012-02-29,252467,58,false,,2026-02-04T17:29:54Z,"vocaloid","KarenT",0.475,0.938,2,-3.129,0,0.0378,0.00644,0.00005,0.367,0.945,154.019,4
spotify:track:2mHENwXHJU1Jerrf8wZXJH,"Hazy Moon","Hazy Moon","Miku Sanaa",2025-07-23,249230,39,false,,2026-02-04T14:44:23Z,"vocaloid","Miku Sanaa",0.577,0.701,5,-5.997,0,0.0259,0.682,0.0000213,0.111,0.559,101.014,4
spotify:track:5nvcwCiRhUMHPSSUZCUqbz,"カンタレラ","カンタレラ","KuroUsa(WhiteFlame)",2012-02-29,179453,49,false,,2026-02-04T14:43:51Z,"vocaloid","KarenT",0.538,0.72,10,-4.641,0,0.0341,0.251,0,0.0643,0.844,144.114,4
spotify:track:2A3evdfPN0jT7NqkK0n9TU,"妖怪ランデブー","妖怪ランデブー","REAL AKIBA BOYZ",2025-03-26,227000,29,false,,2026-02-04T07:22:38Z,"anime","Sony Music Labels Inc.",0.772,0.901,0,-2.962,1,0.174,0.0851,0,0.102,0.779,125.008,4
spotify:track:2ZwS4OtnNImLucRnYQRMH6,"僕らしさ","僕らしさ","『ユイカ』",2024-10-09,248146,46,false,,2026-02-04T07:22:00Z,"j-pop","Universal Music LLC",0.644,0.863,2,-4.906,1,0.0374,0.0177,0.00409,0.269,0.695,124.95,4
spotify:track:11frN4NpnfTDk0ek3Pul12,"裸でどつきあい feat. May'n","裸でどつきあい feat. May'n","SEAMO;May'n",2025-07-08,238260,39,false,,2026-02-04T07:21:27Z,"j-pop,anime","avex pictures",0.661,0.941,7,-4.027,0,0.0499,0.0264,0,0.0809,0.714,137.928,4
