"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7F3R31tU4vNWrdsjNrURQX","Bokurano","spotify:artist:58oPVy7oihAEXE0Ott6JOf","Eve","spotify:album:0dS6KlBzeDJQsWZ2Krmjhh","Bokurano","spotify:artist:58oPVy7oihAEXE0Ott6JOf","Eve","2023-01-08","https://i.scdn.co/image/ab67616d0000b2737a3f298c6a18d9556947945c","1","1","212708","https://p.scdn.co/mp3-preview/68ea87cd8dcccd84e766daac89a89f5cc6d771ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","JPTF02231101","","2026-01-31T15:46:30Z"
"spotify:track:0JtDUkqOV5cRxTdHMXGP3t","ひたむき","spotify:artist:0SMhG4gXGD4gzLMMz08cQU","SUPER BEAVER","spotify:album:6Xot0ubHeYpeNjMelRHHnq","ひたむき","spotify:artist:0SMhG4gXGD4gzLMMz08cQU","SUPER BEAVER","2022-10-02","https://i.scdn.co/image/ab67616d0000b27325a6267e99c97770ecf17adf","1","1","250960","https://p.scdn.co/mp3-preview/945e22f49e1e1ed8d172519eba7289f107b44990?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","JPU902202256","","2026-01-31T15:45:52Z"
"spotify:track:4cXlM7IelyGNnaOiROPZqn","アイデンティティ","spotify:artist:0JROVv4P85ZVPFbaJIqAty","Kiro Akiyama","spotify:album:6J7w94eqtxESsAkRfB4dAQ","アイデンティティ","spotify:artist:0JROVv4P85ZVPFbaJIqAty","Kiro Akiyama","2021-01-27","https://i.scdn.co/image/ab67616d0000b27348844da48df5deeb5ad51d6f","1","1","269813","https://p.scdn.co/mp3-preview/e0530a0fda672c140ccf62d37bf36b0f4a354370?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","JPU902003190","","2026-01-31T15:44:29Z"
"spotify:track:0QMmoBAY9pr7nOYisYWuMj","絶体絶命","spotify:artist:0LlH6J1tj2TPq7AlwXAkY5","Cö shu Nie","spotify:album:2oTP6o5ggDbudTzSvxiD6x","PURE","spotify:artist:0LlH6J1tj2TPq7AlwXAkY5","Cö shu Nie","2019-12-11","https://i.scdn.co/image/ab67616d0000b273b868bc52627b90ed648b2092","1","9","148746","https://p.scdn.co/mp3-preview/7750b2e8096166c29ce43b122bb8c1fc492f8ac5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","JPU901803999","","2026-01-31T15:43:26Z"
"spotify:track:3fPKBKKDNS1VFsVjkTmRFw","Touch off","spotify:artist:6m14xgA0m3w92UM7ujJgky","UVERworld","spotify:album:6Xn9mHI9Ic0rM9wSIHMr1O","Touch off","spotify:artist:6m14xgA0m3w92UM7ujJgky","UVERworld","2019-02-27","https://i.scdn.co/image/ab67616d0000b273ba8da5a36d02d745ae703f45","1","1","260706","https://p.scdn.co/mp3-preview/04dbc9d003fb0f10985b6f2625ddb51ef7b7857a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","JPU901900310","","2026-01-31T15:42:54Z"
"spotify:track:7kRKlFCFLAUwt43HWtauhX","LOST IN PARADISE","spotify:artist:2Qqrew4ZcEwf9NY7UqWGfU, spotify:artist:5fNuYnFYyzsrVRtDcKPnxb","ALI, AKLO","spotify:album:6Jp8BbweVonPWAP5Qyn56J","LOST IN PARADISE","spotify:artist:2Qqrew4ZcEwf9NY7UqWGfU","ALI","2020-10-10","https://i.scdn.co/image/ab67616d0000b2734d0fb5b5d49c879a5cfed01e","1","1","327966","https://p.scdn.co/mp3-preview/ce9df0a8439fd8df2a4abadf18d2ef1bb4cdc132?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","JPU902002384","","2026-01-31T15:41:59Z"
"spotify:track:5blG2vXcJC2n9l3rb5sCOr","燈","spotify:artist:1IEretLePzJKj8R6KCEaBA","Soushi Sakiyama","spotify:album:3wM9hHXOVaqczNQNYRxylz","燈","spotify:artist:1IEretLePzJKj8R6KCEaBA","Soushi Sakiyama","2023-07-07","https://i.scdn.co/image/ab67616d0000b273e1868ca113d27c6ec22eb823","1","1","238720","https://p.scdn.co/mp3-preview/471b18afb6d54cbb7ebc2e111c4547ea19f5626d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","JPU902302266","","2026-01-31T15:39:59Z"
"spotify:track:0ayjyEFPDtTlWQcSbT407P","嘘じゃない","spotify:artist:1IEretLePzJKj8R6KCEaBA","Soushi Sakiyama","spotify:album:1q8qopPQcpacjsyzD0BWhY","嘘じゃない","spotify:artist:1IEretLePzJKj8R6KCEaBA","Soushi Sakiyama","2021-07-17","https://i.scdn.co/image/ab67616d0000b273fb657d3cffcf86f8feb302c5","1","1","258299","https://p.scdn.co/mp3-preview/e636811f589783803e8bb50b0ab648fcafa7e17e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","JPU902101244","","2026-01-31T15:39:28Z"
"spotify:track:4k5g6HNKtrWbYDllw2Dyp0","足跡","spotify:artist:3imCOAQnI4fF5dsncQqLBW","the peggies","spotify:album:2qSycPngTjQbW0JgEPKanq","足跡","spotify:artist:3imCOAQnI4fF5dsncQqLBW","the peggies","2021-03-28","https://i.scdn.co/image/ab67616d0000b273a3c46d98c96e50ef24ef32ef","1","1","227973","https://p.scdn.co/mp3-preview/d864c1e88dde861d2ec13861eff6fb5ade39a47e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","JPU902100398","","2026-01-31T15:38:40Z"
"spotify:track:7b7QqKepv8wY6VopSmQqX8","No.1","spotify:artist:0jJmZHZHNe8n24Y33z5Nil","DISH//","spotify:album:1xy3hzpDwrU7E0nMzfKgo9","No.1","spotify:artist:0jJmZHZHNe8n24Y33z5Nil","DISH//","2021-04-10","https://i.scdn.co/image/ab67616d0000b273e262645a2f2117e298eafe7c","1","1","230600","https://p.scdn.co/mp3-preview/e2410473a9d24c82ed03fb65f34e0f272d366329?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","JPU902100478","","2026-01-31T15:37:50Z"
