"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:03ibUakAvT2QdNqtQEBvYN","Squall (原曲歌手:松本英子)","spotify:artist:2yXtyhscuiX4SWRqd4ZUzv","歌っちゃ王","spotify:album:2vJUCw4N6vV9f01jNTmlBk","Squall(ガイド無しカラオケ)[原曲歌手:松本英子]","spotify:artist:2yXtyhscuiX4SWRqd4ZUzv","歌っちゃ王","2023-06-15","https://i.scdn.co/image/ab67616d0000b273fdb5e64867cc83215a62fbbd","1","1","284303","https://p.scdn.co/mp3-preview/44f4762d6dcb9b60200453da0a638f5f1f50bf8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","JPW462333284","spotify:user:75xsdomm11brssg1t7p7zcehw","2025-06-29T04:33:36Z"
"spotify:track:39uLYYZytVUwcjgeYLI409","Merry-Go-Round of Life - from 'Howl's Moving Castle'","spotify:artist:7nzSoJISlVJsn7O0yTeMOB","Joe Hisaishi","spotify:album:5y3QOvNMlvamEs4rzua8JV","FREEDOM PIANO STORIES 4","spotify:artist:7nzSoJISlVJsn7O0yTeMOB","Joe Hisaishi","2005-01-26","https://i.scdn.co/image/ab67616d0000b27333ea9fb3fd69bca55a015229","1","1","311106","","false","69","JPPO00430640","spotify:user:75xsdomm11brssg1t7p7zcehw","2025-06-22T13:20:35Z"
"spotify:track:12tLo4zslkJEgl8xXlawbI","Rex Incognito","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","spotify:album:0mSbKAlNwSFHlKL4i3OIsn","Genshin Impact - The Stellar Moments (Original Game Soundtrack)","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","2021-02-04","https://i.scdn.co/image/ab67616d0000b273838be058f3d9ade37d66054e","1","17","108827","https://p.scdn.co/mp3-preview/5f871460dbfc9f073d1b9d45e8a6d1eaafee88f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","FR10S2178172","spotify:user:75xsdomm11brssg1t7p7zcehw","2025-06-06T15:00:36Z"
"spotify:track:0JobBuLW1W123TWkwl6nwu","Liyue","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","spotify:album:22jmHd52fUk6hDe8S3Et0T","Genshin Impact - Jade Moon Upon a Sea of Clouds (Original Game Soundtrack)","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","2020-11-06","https://i.scdn.co/image/ab67616d0000b273ae37e6f73804085bf53b23c7","1","1","276250","https://p.scdn.co/mp3-preview/a4a9ca9f5b6b0779909ac67df337138a8a994d20?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","FR26V2016963","spotify:user:75xsdomm11brssg1t7p7zcehw","2025-06-06T14:55:26Z"
"spotify:track:5sE33EjGqWk0lSAze2k25L","Pluie sur la ville","spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","HOYO-MiX","spotify:album:4UwFbGhMZA4LZqqAnt8LCB","Genshin Impact - Fountain of Belleau (Original Game Soundtrack)","spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","HOYO-MiX","2023-10-02","https://i.scdn.co/image/ab67616d0000b273b4d5821cf1dca9adc030994f","1","14","155669","https://p.scdn.co/mp3-preview/a403ab911e0c4e4a68530470215b5176912e8d0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","DGA0M2328897","spotify:user:75xsdomm11brssg1t7p7zcehw","2025-06-06T14:49:42Z"
"spotify:track:07H3CL56iKoHGFdznDCEw3","Requiem Resonantia","spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","HOYO-MiX","spotify:album:2n2LvBVabXSthRaLEDGGSe","Genshin Impact - Cantus Aeternus (Original Game Soundtrack)","spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","HOYO-MiX","2024-05-14","https://i.scdn.co/image/ab67616d0000b27352abd3135aabedfbb9fe4c8e","3","1","148458","https://p.scdn.co/mp3-preview/c3b17cfc499227c30ed545a397ac7062dea22da5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","FRX762430281","spotify:user:75xsdomm11brssg1t7p7zcehw","2025-05-18T23:28:34Z"
"spotify:track:3nEhq5R8zywUip2AYRLpJF","Radetzky March","spotify:artist:5goS0v24Fc1ydjCKQRwtjM, spotify:artist:4WMHJgeJCssiGW3ssUT7eb, spotify:artist:1RnajhNJsObijZCiYkgePv, spotify:artist:0BjUTtTzgWxoQkbGjz4NmZ","Johann Strauss II, Johann Strauss I, Radio Symphony Orchestra\, Berlin, Ferenc Fricsay","spotify:album:22xWqJc8utmRXEP1BxDD6H","By the Beautiful Blue Danube","spotify:artist:5goS0v24Fc1ydjCKQRwtjM, spotify:artist:1RnajhNJsObijZCiYkgePv","Johann Strauss II, Radio Symphony Orchestra\, Berlin","2000-01-01","https://i.scdn.co/image/ab67616d0000b273f00c04fc4990266f55eb1e4d","1","5","138555","https://p.scdn.co/mp3-preview/a791608c9e2808a91059fc29487442beecbf7992?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","GBLGL1222070","spotify:user:75xsdomm11brssg1t7p7zcehw","2025-01-15T02:09:40Z"
"spotify:track:7qWvMY4SVQTkXPiZVnxM5w","La Cumparsita","spotify:artist:23kLEcjsxyvzI3Djc9gK0W","Tango Argentino","spotify:album:4lQoVgTEn7Lt8PLTvzBBBn","Tango Argentino - Music From The Original Cast Recording","spotify:artist:23kLEcjsxyvzI3Djc9gK0W","Tango Argentino","1986-03-12","https://i.scdn.co/image/ab67616d0000b2735ac95163fb9a11712424ac5e","1","3","226720","https://p.scdn.co/mp3-preview/fe5c30e365ace5c3e658bb83e6c218a7d917eb9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USAT20110116","spotify:user:75xsdomm11brssg1t7p7zcehw","2025-01-15T02:09:15Z"
"spotify:track:3AJubc8dJ3lCAG0GFEb9Y2","Skater's Waltz","spotify:artist:2cMkUpjC7RYgp0bV2mD640","Norddeutsche Philharmonie Symphony","spotify:album:1ewV9FYLpzYwWIZU0v3sKa","Classic Waltzes","spotify:artist:2cMkUpjC7RYgp0bV2mD640","Norddeutsche Philharmonie Symphony","2010-12-21","https://i.scdn.co/image/ab67616d0000b27325cccb5c767afc402f3dc2bf","1","9","274346","https://p.scdn.co/mp3-preview/f583fdbb4a18088a70298db3c604c1f579d54611?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USDDK1010140","spotify:user:75xsdomm11brssg1t7p7zcehw","2025-01-15T02:08:43Z"
"spotify:track:0itxo58BsJ9xMqEABUVln0","Love Theme (From ""Romeo and Juliet"")","spotify:artist:0RYyGExpy57GLGa1GtFoVo, spotify:artist:3hJv5p2HwekJysNB2NDnEC, spotify:artist:51HxUAjeZIOv4aniusaDkT","Nino Rota, André Rieu, Johann Strauss Orchestra","spotify:album:4dR1JkOH1PMbTKjY5JJHH5","Romantic Moments","spotify:artist:3hJv5p2HwekJysNB2NDnEC, spotify:artist:51HxUAjeZIOv4aniusaDkT","André Rieu, Johann Strauss Orchestra","1998-01-01","https://i.scdn.co/image/ab67616d0000b2737c0dad3de2abbf46a5fa84a6","1","1","224013","https://p.scdn.co/mp3-preview/ce65cf6805b582a51b067671b2d83647bbef8ecc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","DEF069806270","spotify:user:75xsdomm11brssg1t7p7zcehw","2025-01-15T02:08:04Z"
